기록 시작.
2019-07-08 13:50:53.035602	307484.6702593721값이 생성됨.
2019-07-08 13:50:53.035620	617564.9347495252값이 생성됨.
2019-07-08 13:50:53.035626	217878.891544671값이 생성됨.
2019-07-08 13:50:53.035630	408884.6190149662값이 생성됨.
2019-07-08 13:50:53.035635	905503.6642933601값이 생성됨.
2019-07-08 13:50:53.035639	628891.4323623979값이 생성됨.
2019-07-08 13:50:53.035643	364716.3571549916값이 생성됨.
2019-07-08 13:50:53.035647	288054.8411684434값이 생성됨.
2019-07-08 13:50:53.035651	582533.426847073값이 생성됨.
2019-07-08 13:50:53.035655	778829.2559686466값이 생성됨.
